"assumption","ES","gamma","n_bar","ICC_k","ICC_jk","ES_j","ES_k","ES_jk","ES_j_est","ES_k_est","ES_jk_est","cor_j","cor_k","cor_jk"
"exogeneity",0.5,0.05,30,0.15,0.01,1.11803398874989,0.645497224367903,2.5,1.12152881322533,0.645836768422008,2.50070213519753,0.62487023827287,0.61176766976313,0.225004003352494
"exogeneity",0.5,0.05,30,0.15,0.05,1.11803398874989,0.645497224367903,1.11803398874989,1.12036145272539,0.646231255566619,1.11803744608954,0.624815859158581,0.610669641920929,0.224230364129213
"exogeneity",0.5,0.05,30,0.25,0,1.11803398874989,0.5,Inf,1.12286533905831,0.499672648620506,Inf,0.621236875600511,0.608567117314717,0.222104053528955
"exogeneity",0.5,0.05,30,0.25,0.01,1.11803398874989,0.5,2.5,1.12000036842992,0.500951672886392,2.49991445371143,0.619604256498826,0.608612595101835,0.221874695376384
"exogeneity",0.5,0.05,30,0.25,0.05,1.11803398874989,0.5,1.11803398874989,1.11948123275901,0.500174690043622,1.11804984835213,0.618608793316748,0.607437187735868,0.221968935707888
"exogeneity",0.5,0.05,100,0.05,0,1.11803398874989,1.11803398874989,Inf,1.1211315479976,1.11880282821431,Inf,0.698422251476042,0.74660713897304,0.251980261176668
"exogeneity",0.5,0.05,100,0.05,0.01,1.11803398874989,1.11803398874989,2.5,1.12049490029905,1.11879126382556,2.49991121762948,0.69698341845759,0.745917355141815,0.251736088629811
"exogeneity",0.5,0.05,100,0.05,0.05,1.11803398874989,1.11803398874989,1.11803398874989,1.12109879819335,1.11947538454415,1.11798119570708,0.696373968054693,0.741762323373055,0.250074851542715
"exogeneity",0.5,0.05,100,0.15,0,1.11803398874989,0.645497224367903,Inf,1.12117787623678,0.645744209550902,Inf,0.692797041444148,0.698903780274025,0.244565935362374
"exogeneity",0.5,0.05,100,0.15,0.01,1.11803398874989,0.645497224367903,2.5,1.1198310730095,0.646210193581498,2.50011378344393,0.693244407167792,0.697690756990377,0.243932872283433
"exogeneity",0.5,0.05,100,0.15,0.05,1.11803398874989,0.645497224367903,1.11803398874989,1.12138518119305,0.646532322140171,1.11801583561435,0.690396123251552,0.696043693696189,0.242225421559808
"exogeneity",0.5,0.05,100,0.25,0,1.11803398874989,0.5,Inf,1.12071860794356,0.500151708361967,Inf,0.688347128809116,0.666775332614751,0.238095216654691
"exogeneity",0.5,0.05,100,0.25,0.01,1.11803398874989,0.5,2.5,1.12013101702515,0.500099372465673,2.49969504452134,0.687446590774541,0.667434594365557,0.237759305306953
"exogeneity",0.5,0.05,100,0.25,0.05,1.11803398874989,0.5,1.11803398874989,1.11956693560557,0.500085236539618,1.11771765474107,0.686114496573527,0.665776711920771,0.236302990293614
